[2026-08-04T00:49:39] scan started
[scan.sh] Python: Python 3.11.9
[scan.sh] PYTHONIOENCODING=utf-8
=== skill-updater · V1.0 ===
扫描根: /c/Users/li/.claude
格式: all
网络: 关闭
README: 跳过
==============================================================================================================
  skill-updater · 扫描报告 · 2026-08-04 00:49:52
==============================================================================================================
扫描到 SKILL: 2062
🟢 跳过: 0   🟡 推荐 review: 16   🔴 必读告警: 0   🟣 本地定制: 2046
--------------------------------------------------------------------------------------------------------------
状态   skill 名                        本地 ver     上游 HEAD    upstream license   备注
🟣    latchbio-integration           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    latex-posters                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    literature-review              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    market-research-reports        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    markitdown                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    matchms                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    matlab                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    matplotlib                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    medchem                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    metabolomics-workbench-databa  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    modal                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    molfeat                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    networkx                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    neurokit2                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    neuropixels-analysis           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    offer-k-dense-web              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    omero-integration              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    openalex-database              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    opentargets-database           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    opentrons-integration          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    paper-2-web                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pathml                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pdb-database                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    peer-review                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pennylane                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    perplexity-search              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    plotly                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    polars                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pptx-posters                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    protocolsio-integration        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pubchem-database               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pubmed-database                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pufferlib                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pydeseq2                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pydicom                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pyhealth                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pylabrobot                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pymatgen                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pymc-bayesian-modeling         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pymoo                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pyopenms                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pysam                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pytdc                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pytorch-lightning              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    qiskit                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    qutip                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    rdkit                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    reactome-database              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    research-grants                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    research-lookup                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    rowan                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scanpy                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scholar-evaluation             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scientific-brainstorming       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scientific-critical-thinking   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scientific-schematics          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scientific-slides              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scientific-visualization       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scientific-writing             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scikit-bio                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scikit-learn                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scikit-survival                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scvi-tools                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    seaborn                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    shap                           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    simpy                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    stable-baselines3              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    statistical-analysis           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    statsmodels                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    string-database                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sympy                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    torchdrug                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    torch-geometric                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    transformers                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    treatment-plans                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    umap-learn                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    uniprot-database               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    uspto-database                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vaex                           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    venue-templates                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    zarr-python                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    zinc-database                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    instrument-data-to-allotrope   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    nextflow-development           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scientific-problem-selection   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    scvi-tools                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    single-cell-rna-qc             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    start                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cowork-plugin-customizer       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    create-cowork-plugin           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    customer-escalation            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    customer-research              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    draft-response                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    kb-article                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ticket-triage                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    accessibility-review           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    design-critique                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    design-handoff                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    design-system                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    research-synthesis             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    user-research                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ux-copy                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    architecture                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    code-review                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    debug                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    deploy-checklist               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    documentation                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    incident-response              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    standup                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    system-design                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    tech-debt                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    testing-strategy               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    digest                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    knowledge-synthesis            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    search                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    search-strategy                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    source-management              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    audit-support                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    close-management               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    financial-statements           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    journal-entry                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    journal-entry-prep             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    reconciliation                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sox-testing                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    variance-analysis              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    comp-analysis                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    draft-offer                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    interview-prep                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    onboarding                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    org-planning                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    people-report                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    performance-review             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    policy-lookup                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    recruiting-pipeline            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    brief                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    compliance-check               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    legal-response                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    legal-risk-assessment          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    meeting-briefing               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    review-contract                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    signature-request              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    triage-nda                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vendor-check                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    brand-review                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    campaign-plan                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    competitive-brief              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    content-creation               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    draft-content                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    email-sequence                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    performance-report             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    seo-audit                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    capacity-plan                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    change-request                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    compliance-tracking            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    process-doc                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    process-optimization           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    risk-assessment                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    runbook                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    status-report                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vendor-review                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    enrich-lead                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    prospect                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sequence-load                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    brand-voice-enforcement        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    discover-brand                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    guideline-generation           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    account-research               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    call-prep                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    compose-outreach               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    contact-research               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    prospect                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    weekly-prep-brief              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    slack-messaging                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    slack-search                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    competitive-brief              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    metrics-review                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    product-brainstorming          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    roadmap-update                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sprint-planning                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    stakeholder-update             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    synthesize-research            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    write-spec                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    memory-management              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    start                          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    task-management                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    update                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    account-research               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    call-prep                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    call-summary                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    competitive-intelligence       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    create-an-asset                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    daily-briefing                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    draft-outreach                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    forecast                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pipeline-review                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    adr-create                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    adr-index                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    adr-review                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    adr-verify                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    managed-agent                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    wasm-agent                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    wasm-gallery                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agentdb-query                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vector-search                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pii-detect                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    safety-scan                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    autopilot-loop                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    autopilot-predict              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-auth-flow              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-extract                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-form-fill              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-login                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-record                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-replay                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-scrape                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-screenshot-diff        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser-test                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    discover-plugins               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    init-project                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ruflo-doctor                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    witness                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-benchmark                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-booster-edit              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-booster-route             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-budget-check              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-compact-context           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-conversation              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-export                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-federation                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-optimize                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-report                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-summary                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-track                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cost-trend                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cognitive-pattern              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    daa-agent                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ddd-aggregate                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ddd-context                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ddd-validate                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    api-docs                       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    doc-gen                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    federation-audit               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    federation-init                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    federation-status              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    deep-research                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    dossier-collect                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    goal-plan                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    horizon-track                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    research-synthesize            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    intelligence-route             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    intelligence-transfer          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    neural-train                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iot-anomalies                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iot-firmware                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iot-fleet                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iot-register                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    iot-witness-verify             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    diff-analyze                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    git-workflow                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    kg-extract                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    kg-traverse                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    cron-schedule                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    loop-worker                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    market-ingest                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    market-pattern                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    migrate-create                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    migrate-validate               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    trader-backtest                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    trader-cloud-backtest          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    trader-portfolio               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    trader-regime                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    trader-risk                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    trader-signal                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    trader-train                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    observe-metrics                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    observe-trace                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    create-plugin                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    validate-plugin                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    memory-bridge                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    memory-search                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vector-cluster                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vector-embed                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vector-hyperbolic              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    vector-setup                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    chat-format                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    llm-config                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    rvf-manage                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    session-persist                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    dependency-check               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-scan                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sparc-implement                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sparc-refine                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sparc-spec                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    monitor-stream                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swarm-init                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    tdd-workflow                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    test-gaps                      -          -          -                  本地定制（source type=missing，无上游比对）
🟣    workflow-create                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    workflow-run                   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    browser                        1.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    memory-management              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    security-audit                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    sparc-methodology              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    swarm-orchestration            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    company-values                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    find-community                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    first-customers                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    grow-sustainably               -          -          -                  本地定制（source type=missing，无上游比对）
🟣    marketing-plan                 -          -          -                  本地定制（source type=missing，无上游比对）
🟣    minimalist-review              -          -          -                  本地定制（source type=missing，无上游比对）
🟣    mvp                            -          -          -                  本地定制（source type=missing，无上游比对）
🟣    pricing                        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    processize                     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    validate-idea                  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    ralph-copywriter               2.0.0      -          -                  本地定制（source type=missing，无上游比对）
🟣    prompt-engineering             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    software-architecture          -          -          -                  本地定制（source type=missing，无上游比对）
🟣    kaizen                         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    subagent-driven-development    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    test-driven-development        -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-adaptive-coordinator     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-agent                    -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-agentic-payments         -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-analyze-code-quality     -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-app-store                -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-arch-system-design       -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-architecture             -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-authentication           -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-automation-smart-agent   -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-base-template-generator  -          -          -                  本地定制（source type=missing，无上游比对）
🟣    agent-benchmark-suite          -          -          -                  本地定制（source type=missing，无上游比对）
